,metab_num,HMDB_ID,PubChem,KEGG,SMILES
56,2227,HMDB0000876,5280795,C05443,[H][C@@]1(CC[C@@]2([H])\C(CCC[C@]12C)=C\C=C1\C[C@@H](O)CCC1=C)[C@H](C)CCCC(C)C
57,2228,HMDB0000277,5283560,C06124,CCCCCCCCCCCCC\C=C\[C@@H](O)[C@@H](N)COP(O)(O)=O
58,2229,HMDB0000068,5816,C00788,CNC[C@H](O)C1=CC(O)=C(O)C=C1
59,2230,HMDB0000265,5920,C02465,N[C@@H](CC1=CC(I)=C(OC2=CC(I)=C(O)C=C2)C(I)=C1)C(O)=O
60,2231,HMDB0000148,33032,C00025,N[C@@H](CCC(O)=O)C(O)=O
61,2232,HMDB0000191,5960,C00049,N[C@@H](CC(O)=O)C(O)=O
62,2233,HMDB0003406,71077,C00740,N[C@H](CO)C(O)=O
63,2234,HMDB0000239,1054,C00314,CC1=C(O)C(CO)=C(CO)C=N1
64,2235,HMDB0000125,124886,C00051,N[C@@H](CCC(=O)N[C@@H](CS)C(=O)NCC(O)=O)C(O)=O
65,2236,HMDB0000094,311,C00158,OC(=O)CC(O)(CC(O)=O)C(O)=O
66,2237,HMDB0000151,5757,C00951,[H][C@@]12CC[C@H](O)[C@@]1(C)CC[C@]1([H])C3=C(CC[C@@]21[H])C=C(O)C=C3
67,2238,HMDB0014956,4943,C07523,CC(C)C1=CC=CC(C(C)C)=C1O
68,2239,HMDB0002802,222786,C00762,[H][C@@]12CC[C@](O)(C(=O)CO)[C@@]1(C)CC(=O)[C@@]1([H])[C@@]2([H])CCC2=CC(=O)CC[C@]12C
69,2240,HMDB0000161,5950,C00041,C[C@H](N)C(O)=O
