ID	HMDB ID	Metabolite name	metName	Receptor symbol	Protein name	PMID	Other.DB	MRID
388	HMDB0000068	Epinephrine	Epinephrine	Adra2a	Alpha-2A adrenergic receptor	https://en.wikipedia.org/wiki/Adrenergic_receptor	Receptor	MRM0388
389	HMDB0000216	Norepinephrine	Norepinephrine	Adra2b	Alpha-2B adrenergic receptor	https://en.wikipedia.org/wiki/Adrenergic_receptor	Receptor	MRM0389
390	HMDB0000068	Epinephrine	Epinephrine	Adra2b	Alpha-2B adrenergic receptor	https://en.wikipedia.org/wiki/Adrenergic_receptor	Receptor	MRM0390
391	HMDB0000216	Norepinephrine	Norepinephrine	Adra2c	Alpha-2C adrenergic receptor	https://en.wikipedia.org/wiki/Adrenergic_receptor	Receptor	MRM0391
392	HMDB0000068	Epinephrine	Epinephrine	Adra2c	Alpha-2C adrenergic receptor	https://en.wikipedia.org/wiki/Adrenergic_receptor	Receptor	MRM0392
393	HMDB0000216	Norepinephrine	Norepinephrine	Adrb1	Beta-1 adrenergic receptor	https://en.wikipedia.org/wiki/Adrenergic_receptor	Receptor	MRM0393
394	HMDB0000068	Epinephrine	Epinephrine	Adrb1	Beta-1 adrenergic receptor	https://en.wikipedia.org/wiki/Adrenergic_receptor	Receptor	MRM0394
395	HMDB0000216	Norepinephrine	Norepinephrine	Adrb2	Beta-2 adrenergic receptor	https://en.wikipedia.org/wiki/Adrenergic_receptor	Receptor	MRM0395
396	HMDB0000068	Epinephrine	Epinephrine	Adrb2	Beta-2 adrenergic receptor	https://en.wikipedia.org/wiki/Adrenergic_receptor	Receptor	MRM0396
397	HMDB0000216	Norepinephrine	Norepinephrine	Adrb3	Beta-3 adrenergic receptor	https://en.wikipedia.org/wiki/Adrenergic_receptor	Receptor	MRM0397
398	HMDB0000068	Epinephrine	Epinephrine	Adrb3	Beta-3 adrenergic receptor	https://en.wikipedia.org/wiki/Adrenergic_receptor	Receptor	MRM0398
399	HMDB0001852	all-trans-Retinoic acid	all-trans-Retinoic acid	Rara	Retinoic acid receptor alpha	20615454	Nuclear Receptor	MRM0399
400	HMDB0001085	Leukotriene B4	Leukotriene B4	Ppara	Peroxisome proliferator-activated receptor alpha	20615454	Nuclear Receptor	MRM0400
401	HMDB0001547	Corticosterone	Corticosterone	Nr3c1	Glucocorticoid receptor	20615454	Nuclear Receptor	MRM0401
402	HMDB0000518	Chenodeoxycholic acid	Chenodeoxycholic acid	Nr1h4	Bile acid receptor	20615454	Nuclear Receptor	MRM0402
403	HMDB0006247	25-Hydroxycholesterol	25-Hydroxycholesterol	Nr1h3	Oxysterols receptor LXR-alpha	20615454	Nuclear Receptor	MRM0403
404	HMDB0000121	Folic acid	Folic acid	Slc19a1	Reduced folate transporter	28284395	Transporter	MRM0404
405	HMDB0000235	Thiamine	Thiamine	Slc19a3	Thiamine transporter 2	28284395	Transporter	MRM0405
406	HMDB0000190	L-Lactic acid	Lactate	Slc16a1	Monocarboxylate transporter 1	32144120; 22428047	Transporter	MRM0406
407	HMDB0000077	Dehydroepiandrosterone	Dehydroepiandrosterone	Ar	Androgen receptor	21303972; 24861263; 12647261	Nuclear Receptor	MRM0407
408	HMDB0000586	Potassium	Potassium	Abcc8	ATP-binding cassette sub-family C member 8	https://en.wikipedia.org/wiki/ABCC8; 23226049; 24399968; 22050960; 24700710	Transporter	MRM0408
409	HMDB0006111	12-HETE	12-HETE	Gpr31b	12-(S)-hydroxy-5,8,10,14-eicosatetraenoic acid receptor	32918516	Receptor	MRM0409
410	HMDB0000757	Glycogen	Glycogen	Stbd1	Starch-binding domain-containing protein 1	20810658; 21893048; 32927708; 24837458	Receptor	MRM0410
411	HMDB0000715	Kynurenic acid	Kynurenic acid	Gpr35	G-protein coupled receptor 35	22523636; 23123095; 30141532; 29414686; 16754668	Receptor	MRM0411
412	HMDB0004385	Lipoxin A4	Lipoxin A4	Esr1	Estrogen receptor	24587003	Nuclear Receptor	MRM0412
413	HMDB0000588	Sodium	Sodium	Slc5a1	Sodium/glucose cotransporter 1	Recon2	Transporter	MRM0413
414	HMDB0000588	Sodium	Sodium	Slc5a5	Sodium/iodide cotransporter	Recon2	Transporter	MRM0414
415	HMDB0000588	Sodium	Sodium	Slc5a3	Sodium/myo-inositol cotransporter	Recon2	Transporter	MRM0415
416	HMDB0000719	L-Homoserine	L-homoserine	Slc43a1	Large neutral amino acids transporter small subunit 3	Recon2	Transporter	MRM0416
417	HMDB0000492	Chloride ion	Chloride	Slc17a1	Sodium-dependent phosphate transport protein 1	Recon2	Transporter	MRM0417
418	HMDB0003229	Palmitoleic acid	Hexadecenoate (n-C16:1)	Slc27a2	Long-chain fatty acid transport protein 2	Recon2	Transporter	MRM0418
419	HMDB0012238	Iodide	iodide	Slc5a8	Sodium-coupled monocarboxylate transporter 1	Recon2	Transporter	MRM0419
420	HMDB0002003	Tetracosanoic acid	lignocerate	Slc27a2	Long-chain fatty acid transport protein 2	Recon2	Transporter	MRM0420
421	HMDB0001893	alpha-Tocopherol	(+)-alpha-tocopherol	Scarb1	Scavenger receptor class B member 1	Recon2	Receptor	MRM0421
422	HMDB0001893	alpha-Tocopherol	(+)-alpha-tocopherol	Npc1l1	NPC1-like intracellular cholesterol transporter 1	Recon2	Receptor	MRM0422
423	HMDB0000573	Elaidic acid	elaidate	Slc27a2	Long-chain fatty acid transport protein 2	Recon2	Transporter	MRM0423
424	HMDB0002086	Adenosylcobalamin	Adenosylcobalamin	Cubn	Cubilin	Recon2	Transporter	MRM0424
425	HMDB0002086	Adenosylcobalamin	Adenosylcobalamin	Amn	Protein amnionless [Cleaved into: Soluble protein amnionless]	Recon2	Transporter	MRM0425
426	HMDB0000630	Cytosine	cytosine	Slc29a2	Equilibrative nucleoside transporter 2	Recon2	Transporter	MRM0426
427	HMDB0006543	Debrisoquine	debrisoquine	Slc22a2	Solute carrier family 22 member 2	Recon2	Transporter	MRM0427
428	HMDB0011733	Glycyl-glycine	Glycyl-glycine	Slc15a1	Solute carrier family 15 member 1	Recon2	Transporter	MRM0428
429	HMDB0000295	Uridine 5'-diphosphate	Uridine 5'-diphosphate	P2ry6	P2Y purinoceptor 6	24335194	Receptor	MRM0429
430	HMDB0000801	Phytanic acid	Phytanic acid	Ppara	Peroxisome proliferator-activated receptor alpha	11923221	Nuclear Receptor	MRM0430
431	HMDB0000801	Phytanic acid	Phytanic acid	Pparg	Peroxisome proliferator-activated receptor gamma	11923221	Nuclear Receptor	MRM0431
432	HMDB0005079	15-Deoxy-d-12,14-PGJ2	15-Deoxy-d-12,14-PGJ2	Pparg	Peroxisome proliferator-activated receptor gamma	20615454	Nuclear Receptor	MRM0432
433	HMDB0000016	Deoxycorticosterone	Deoxycorticosterone	Nr3c1	Glucocorticoid receptor	Cellinker	Nuclear Receptor	MRM0433
434	HMDB0000016	Deoxycorticosterone	Deoxycorticosterone	Nr3c2	Mineralocorticoid receptor	Cellinker	Nuclear Receptor	MRM0434
435	HMDB0000039	Butyric acid	Butyric acid	Ffar2	Free fatty acid receptor 2	Cellinker	Receptor	MRM0435
436	HMDB0000039	Butyric acid	Butyric acid	Ffar3	Free fatty acid receptor 3	Cellinker	Receptor	MRM0436
437	HMDB0000039	Butyric acid	Butyric acid	Hcar2	Hydroxycarboxylic acid receptor 2	Cellinker	Receptor	MRM0437
438	HMDB0000042	Acetic acid	Acetic acid	Ffar2	Free fatty acid receptor 2	Cellinker	Receptor	MRM0438
439	HMDB0000045	Adenosine monophosphate	Adenosine monophosphate	Trpm4	Transient receptor potential cation channel subfamily M member 4	Cellinker	Receptor; Channel	MRM0439
440	HMDB0000056	beta-Alanine	beta-Alanine	Mrgprd	Mas-related G-protein coupled receptor member D	Cellinker	Receptor	MRM0440
441	HMDB0000058	Cyclic AMP	Cyclic AMP	Cnga3	Cyclic nucleotide-gated cation channel alpha-3	Cellinker	Channel	MRM0441
442	HMDB0000073	Dopamine	Dopamine	Comt	Catechol O-methyltransferase	Cellinker	Enzyme	MRM0442
443	HMDB0000112	gamma-Aminobutyric acid	gamma-Aminobutyric acid	Kctd12	BTB/POZ domain-containing protein KCTD12	Cellinker	Channel	MRM0443
444	HMDB0000112	gamma-Aminobutyric acid	gamma-Aminobutyric acid	Kctd12b	BTB/POZ domain-containing protein KCTD12	Cellinker	Channel	MRM0444
445	HMDB0000112	gamma-Aminobutyric acid	gamma-Aminobutyric acid	Kctd16	BTB/POZ domain-containing protein KCTD16	Cellinker	Channel	MRM0445
446	HMDB0000112	gamma-Aminobutyric acid	gamma-Aminobutyric acid	Kctd8	BTB/POZ domain-containing protein KCTD8	Cellinker	Channel	MRM0446
447	HMDB0000112	gamma-Aminobutyric acid	gamma-Aminobutyric acid	Gabra2	Gamma-aminobutyric acid receptor subunit alpha-2	Cellinker	Receptor	MRM0447
448	HMDB0000112	gamma-Aminobutyric acid	gamma-Aminobutyric acid	Gabra3	Gamma-aminobutyric acid receptor subunit alpha-3	Cellinker	Receptor	MRM0448
449	HMDB0000112	gamma-Aminobutyric acid	gamma-Aminobutyric acid	Gabra5	Gamma-aminobutyric acid receptor subunit alpha-5	Cellinker	Receptor	MRM0449
450	HMDB0000112	gamma-Aminobutyric acid	gamma-Aminobutyric acid	Gabra6	Gamma-aminobutyric acid receptor subunit alpha-6	Cellinker	Receptor	MRM0450
451	HMDB0000112	gamma-Aminobutyric acid	gamma-Aminobutyric acid	Gabrb1	Gamma-aminobutyric acid receptor subunit beta-1	Cellinker	Receptor	MRM0451
452	HMDB0000112	gamma-Aminobutyric acid	gamma-Aminobutyric acid	Gabrb3	Gamma-aminobutyric acid receptor subunit beta-3	Cellinker	Receptor	MRM0452
453	HMDB0000112	gamma-Aminobutyric acid	gamma-Aminobutyric acid	Gabrg1	Gamma-aminobutyric acid receptor subunit gamma-1	Cellinker	Receptor	MRM0453
454	HMDB0000112	gamma-Aminobutyric acid	gamma-Aminobutyric acid	Gabrg3	Gamma-aminobutyric acid receptor subunit gamma-3	Cellinker	Receptor	MRM0454
455	HMDB0000123	Glycine	Glycine	Grin2a	Glutamate receptor ionotropic, NMDA 2A	Cellinker	Receptor	MRM0455
456	HMDB0000123	Glycine	Glycine	Grin2b	Glutamate receptor ionotropic, NMDA 2B	Cellinker	Receptor	MRM0456
457	HMDB0000123	Glycine	Glycine	Grin2c	Glutamate receptor ionotropic, NMDA 2C	Cellinker	Receptor	MRM0457
458	HMDB0000123	Glycine	Glycine	Grin2d	Glutamate receptor ionotropic, NMDA 2D	Cellinker	Receptor	MRM0458
459	HMDB0000123	Glycine	Glycine	Gprc6a	G-protein coupled receptor family C group 6 member A	Cellinker	Receptor	MRM0459
460	HMDB0000123	Glycine	Glycine	Glrb	Glycine receptor subunit beta	Cellinker	Receptor	MRM0460
461	HMDB0000123	Glycine	Glycine	Glra4	Glycine Receptor Alpha 4	Cellinker	Receptor	MRM0461
462	HMDB0000123	Glycine	Glycine	Slc6a9	Sodium- and chloride-dependent glycine transporter 1	Cellinker	Transporter	MRM0462
463	HMDB0000123	Glycine	Glycine	Slc6a5	Sodium- and chloride-dependent glycine transporter 2	Cellinker	Transporter	MRM0463
464	HMDB0000123	Glycine	Glycine	Glra2	Glycine receptor subunit alpha-2	Cellinker	Receptor	MRM0464
465	HMDB0000123	Glycine	Glycine	Glra1	Glycine receptor subunit alpha-1	Cellinker	Receptor	MRM0465
466	HMDB0000123	Glycine	Glycine	Glra3	Glycine receptor subunit alpha-3	Cellinker	Receptor	MRM0466
467	HMDB0000148	L-Glutamic acid	L-Glutamic acid	Grm6	Metabotropic glutamate receptor 6	Cellinker	Receptor	MRM0467
468	HMDB0000148	L-Glutamic acid	L-Glutamic acid	Grin1	Glutamate receptor ionotropic, NMDA 1	Cellinker	Receptor	MRM0468
469	HMDB0000148	L-Glutamic acid	L-Glutamic acid	Grin2a	Glutamate receptor ionotropic, NMDA 2A	Cellinker	Receptor	MRM0469
470	HMDB0000148	L-Glutamic acid	L-Glutamic acid	Grin2b	Glutamate receptor ionotropic, NMDA 2B	Cellinker	Receptor	MRM0470
471	HMDB0000148	L-Glutamic acid	L-Glutamic acid	Grin2c	Glutamate receptor ionotropic, NMDA 2C	Cellinker	Receptor	MRM0471
472	HMDB0000148	L-Glutamic acid	L-Glutamic acid	Grin2d	Glutamate receptor ionotropic, NMDA 2D	Cellinker	Receptor	MRM0472
473	HMDB0000148	L-Glutamic acid	L-Glutamic acid	Grin3b	Glutamate receptor ionotropic, NMDA 3B	Cellinker	Receptor	MRM0473
474	HMDB0000148	L-Glutamic acid	L-Glutamic acid	Grik1	Glutamate receptor ionotropic, kainate 1	Cellinker	Receptor	MRM0474
475	HMDB0000148	L-Glutamic acid	L-Glutamic acid	Grik3	Glutamate receptor ionotropic, kainate 3	Cellinker	Receptor	MRM0475
476	HMDB0000148	L-Glutamic acid	L-Glutamic acid	Grik5	Glutamate receptor ionotropic, kainate 5	Cellinker	Receptor	MRM0476
477	HMDB0000159	L-Phenylalanine	L-Phenylalanine	Gpr139	Probable G-protein coupled receptor 139	Cellinker	Receptor	MRM0477
478	HMDB0000161	L-Alanine	L-Alanine	Gprc6a	G-protein coupled receptor family C group 6 member A	Cellinker	Receptor	MRM0478
479	HMDB0000181	L-Dopa	L-Dopa	Gpr143	G-protein coupled receptor 143	Cellinker	Receptor	MRM0479
480	HMDB0000182	L-Lysine	L-Lysine	Gprc6a	G-protein coupled receptor family C group 6 member A	Cellinker	Receptor	MRM0480
481	HMDB0000187	L-Serine	L-Serine	Gprc6a	G-protein coupled receptor family C group 6 member A	Cellinker	Receptor	MRM0481
482	HMDB0000191	L-Aspartic acid	L-Aspartic acid	Grin1	Glutamate receptor ionotropic, NMDA 1	Cellinker	Receptor	MRM0482
483	HMDB0000191	L-Aspartic acid	L-Aspartic acid	Grin2a	Glutamate receptor ionotropic, NMDA 2A	Cellinker	Receptor	MRM0483
484	HMDB0000191	L-Aspartic acid	L-Aspartic acid	Grin2b	Glutamate receptor ionotropic, NMDA 2B	Cellinker	Receptor	MRM0484
485	HMDB0000191	L-Aspartic acid	L-Aspartic acid	Grin2c	Glutamate receptor ionotropic, NMDA 2C	Cellinker	Receptor	MRM0485
486	HMDB0000191	L-Aspartic acid	L-Aspartic acid	Grin2d	Glutamate receptor ionotropic, NMDA 2D	Cellinker	Receptor	MRM0486
487	HMDB0000207	Oleic acid	Oleic acid	Ffar1	Free fatty acid receptor 1	Cellinker	Receptor	MRM0487
488	HMDB0000207	Oleic acid	Oleic acid	Ffar4	Free fatty acid receptor 4	Cellinker	Receptor	MRM0488
489	HMDB0000207	Oleic acid	Oleic acid	Pld2	Phospholipase D2	Cellinker	Enzyme	MRM0489
490	HMDB0000214	Ornithine	Ornithine	Gprc6a	G-protein coupled receptor family C group 6 member A	Cellinker	Receptor	MRM0490
491	HMDB0000216	Norepinephrine	Norepinephrine	Slc6a2	Sodium-dependent noradrenaline transporter	Cellinker	Transporter	MRM0491
492	HMDB0000216	Norepinephrine	Norepinephrine	Comt	Catechol O-methyltransferase	Cellinker	Enzyme	MRM0492
493	HMDB0000237	Propionic acid	Propionic acid	Ffar2	Free fatty acid receptor 2	Cellinker	Receptor	MRM0493
494	HMDB0000237	Propionic acid	Propionic acid	Ffar3	Free fatty acid receptor 3	Cellinker	Receptor	MRM0494
495	HMDB0000251	Taurine	Taurine	Glra1	Glycine receptor subunit alpha-1	Cellinker	Receptor	MRM0495
496	HMDB0000251	Taurine	Taurine	Glra2	Glycine receptor subunit alpha-2	Cellinker	Receptor	MRM0496
497	HMDB0000251	Taurine	Taurine	Glra3	Glycine receptor subunit alpha-3	Cellinker	Receptor	MRM0497
498	HMDB0000251	Taurine	Taurine	Glrb	Glycine receptor subunit beta	Cellinker	Receptor	MRM0498
499	HMDB0000252	Sphingosine	Sphingosine	Trpm3	Transient receptor potential cation channel subfamily M member 3	Cellinker	Receptor; Channel	MRM0499
500	HMDB0000254	Succinic acid	Succinic acid	Trpc6	Short transient receptor potential channel 6	Cellinker	Receptor	MRM0500
501	HMDB0000259	Serotonin	Serotonin	Htr1f	5-hydroxytryptamine receptor 1F	Cellinker	Receptor	MRM0501
502	HMDB0000259	Serotonin	Serotonin	Htr5a	5-hydroxytryptamine receptor 5A	Cellinker	Receptor	MRM0502
503	HMDB0000259	Serotonin	Serotonin	Htr7	5-hydroxytryptamine receptor 7	Cellinker	Receptor	MRM0503
504	HMDB0000259	Serotonin	Serotonin	Drd1	D(1A) dopamine receptor	Cellinker	Receptor	MRM0504
505	HMDB0000259	Serotonin	Serotonin	Drd5	D(1B) dopamine receptor	Cellinker	Receptor	MRM0505
506	HMDB0000269	Sphinganine	Sphinganine	Trpm3	Transient receptor potential cation channel subfamily M member 3	Cellinker	Receptor; Channel	MRM0506
507	HMDB0000272	Phosphoserine	Phosphoserine	Grm4	Metabotropic glutamate receptor 4	Cellinker	Receptor	MRM0507
508	HMDB0000272	Phosphoserine	Phosphoserine	Grm6	Metabotropic glutamate receptor 6	Cellinker	Receptor	MRM0508
509	HMDB0000272	Phosphoserine	Phosphoserine	Grm7	Metabotropic glutamate receptor 7	Cellinker	Receptor	MRM0509
510	HMDB0000272	Phosphoserine	Phosphoserine	Grm8	Metabotropic glutamate receptor 8	Cellinker	Receptor	MRM0510
511	HMDB0000277	Sphingosine 1-phosphate	Sphingosine 1-phosphate	Gpr12	G-protein coupled receptor 12	Cellinker	Receptor	MRM0511
512	HMDB0000277	Sphingosine 1-phosphate	Sphingosine 1-phosphate	Gpr3	G-protein coupled receptor 3	Cellinker	Receptor	MRM0512
513	HMDB0000277	Sphingosine 1-phosphate	Sphingosine 1-phosphate	Gpr63	Probable G-protein coupled receptor 63	Cellinker	Receptor	MRM0513
514	HMDB0000277	Sphingosine 1-phosphate	Sphingosine 1-phosphate	P2ry10	Putative P2Y purinoceptor 10	Cellinker	Receptor	MRM0514
515	HMDB0000277	Sphingosine 1-phosphate	Sphingosine 1-phosphate	S1pr4	Sphingosine 1-phosphate receptor 4	Cellinker	Receptor	MRM0515
516	HMDB0000286	Uridine diphosphate glucose	Uridine diphosphate glucose	Gpr17	Uracil nucleotide/cysteinyl leukotriene receptor	Cellinker	Receptor	MRM0516
517	HMDB0000295	Uridine 5'-diphosphate	Uridine 5'-diphosphate	Gpr17	Uracil nucleotide/cysteinyl leukotriene receptor	Cellinker	Receptor	MRM0517
518	HMDB0000295	Uridine 5'-diphosphate	Uridine 5'-diphosphate	P2ry14	P2Y purinoceptor 14	Cellinker	Receptor	MRM0518
519	HMDB0000302	Uridine diphosphategalactose	Uridine diphosphategalactose	Gpr17	Uracil nucleotide/cysteinyl leukotriene receptor	Cellinker	Receptor	MRM0519
520	HMDB0000302	Uridine diphosphategalactose	Uridine diphosphategalactose	P2ry14	P2Y purinoceptor 14	Cellinker	Receptor	MRM0520
521	HMDB0000303	Tryptamine	Tryptamine	Htr1b	5-hydroxytryptamine receptor 1B	Cellinker	Receptor	MRM0521
522	HMDB0000303	Tryptamine	Tryptamine	Htr2a	5-hydroxytryptamine receptor 2A	Cellinker	Receptor	MRM0522
523	HMDB0000305	Vitamin A	Vitamin A	Nr2c2	Nuclear receptor subfamily 2 group C member 2	Cellinker	Nuclear Receptor	MRM0523
524	HMDB0000306	Tyramine	Tyramine	Taar1	Trace amine-associated receptor 1	Cellinker	Receptor	MRM0524
525	HMDB0000464	Calcium	Calcium	Htr3a	5-hydroxytryptamine receptor 3A	Cellinker	Receptor	MRM0525
526	HMDB0000464	Calcium	Calcium	Ano1	Anoctamin-1	Cellinker	Channel	MRM0526
527	HMDB0000464	Calcium	Calcium	Casr	Extracellular calcium-sensing receptor	Cellinker	Receptor	MRM0527
528	HMDB0000464	Calcium	Calcium	Gje1	Putative gap junction epsilon-1 protein	Cellinker	Channel	MRM0528
529	HMDB0000464	Calcium	Calcium	Gjb2	Gap junction beta-2 protein	Cellinker	Channel	MRM0529
530	HMDB0000464	Calcium	Calcium	Gjb6	Gap junction beta-6 protein	Cellinker	Channel	MRM0530
531	HMDB0000464	Calcium	Calcium	Gjc3	Gap junction gamma-3 protein	Cellinker	Channel	MRM0531
532	HMDB0000464	Calcium	Calcium	Gjb4	Gap junction beta-4 protein	Cellinker	Channel	MRM0532
533	HMDB0000464	Calcium	Calcium	Gjb3	Gap junction beta-3 protein	Cellinker	Channel	MRM0533
534	HMDB0000464	Calcium	Calcium	Gjb5	Gap junction beta-5 protein	Cellinker	Channel	MRM0534
535	HMDB0000464	Calcium	Calcium	Gjd3	Gap junction delta-3 protein	Cellinker	Channel	MRM0535
536	HMDB0000464	Calcium	Calcium	Gjb1	Gap junction beta-1 protein	Cellinker	Channel	MRM0536
537	HMDB0000464	Calcium	Calcium	Gjd2	Gap junction delta-2 protein	Cellinker	Channel	MRM0537
538	HMDB0000464	Calcium	Calcium	Gja4	Gap junction alpha-4 protein	Cellinker	Channel	MRM0538
539	HMDB0000464	Calcium	Calcium	Gja5	Gap junction alpha-5 protein	Cellinker	Channel	MRM0539
540	HMDB0000464	Calcium	Calcium	Gjd4	Gap junction delta-4 protein	Cellinker	Channel	MRM0540
541	HMDB0000464	Calcium	Calcium	Gja1	Gap junction alpha-1 protein	Cellinker	Channel	MRM0541
542	HMDB0000464	Calcium	Calcium	Gja6	Gap junction alpha-1 protein	Cellinker	Channel	MRM0542
543	HMDB0000464	Calcium	Calcium	Gjc1	Gap junction gamma-1 protein	Cellinker	Channel	MRM0543
544	HMDB0000464	Calcium	Calcium	Gja3	Gap junction alpha-3 protein	Cellinker	Channel	MRM0544
545	HMDB0000464	Calcium	Calcium	Gjc2	Gap junction gamma-2 protein	Cellinker	Channel	MRM0545
546	HMDB0000464	Calcium	Calcium	Gja8	Gap junction alpha-8 protein	Cellinker	Channel	MRM0546
547	HMDB0000464	Calcium	Calcium	Gja10	Gap junction alpha-10 protein	Cellinker	Channel	MRM0547
548	HMDB0000464	Calcium	Calcium	Itpr1	Inositol 1,4,5-trisphosphate receptor type 1	Cellinker	Receptor	MRM0548
549	HMDB0000464	Calcium	Calcium	Itpr2	Inositol 1,4,5-trisphosphate receptor type 2	Cellinker	Receptor	MRM0549
550	HMDB0000464	Calcium	Calcium	Itpr3	Inositol 1,4,5-trisphosphate receptor type 3	Cellinker	Receptor	MRM0550
551	HMDB0000464	Calcium	Calcium	Kcnn1	Small conductance calcium-activated potassium channel protein 1	Cellinker	Channel	MRM0551
552	HMDB0000464	Calcium	Calcium	Kcnn2	Small conductance calcium-activated potassium channel protein 2	Cellinker	Channel	MRM0552
553	HMDB0000464	Calcium	Calcium	Ryr1	Ryanodine receptor 1	Cellinker	Receptor	MRM0553
554	HMDB0000464	Calcium	Calcium	Ryr2	Ryanodine receptor 2	Cellinker	Receptor	MRM0554
555	HMDB0000464	Calcium	Calcium	Ryr3	Ryanodine receptor 3	Cellinker	Receptor	MRM0555
556	HMDB0000464	Calcium	Calcium	Trpc5	Short transient receptor potential channel 5	Cellinker	Receptor; Channel	MRM0556
557	HMDB0000464	Calcium	Calcium	Trpm2	Transient receptor potential cation channel subfamily M member 2	Cellinker	Receptor	MRM0557
558	HMDB0000464	Calcium	Calcium	Trpm4	Transient receptor potential cation channel subfamily M member 4	Cellinker	Receptor; Channel	MRM0558
559	HMDB0000464	Calcium	Calcium	Trpm6	Transient receptor potential cation channel subfamily M member 6	Cellinker	Receptor; Channel	MRM0559
560	HMDB0000538	Adenosine triphosphate	Adenosine triphosphate	Gpr17	Uracil nucleotide/cysteinyl leukotriene receptor	Cellinker	Receptor	MRM0560
561	HMDB0000538	Adenosine triphosphate	Adenosine triphosphate	Itpr1	Inositol 1,4,5-trisphosphate receptor type 1	Cellinker	Receptor	MRM0561
562	HMDB0000538	Adenosine triphosphate	Adenosine triphosphate	Ryr1	Ryanodine receptor 1	Cellinker	Receptor	MRM0562
563	HMDB0000538	Adenosine triphosphate	Adenosine triphosphate	Ryr2	Ryanodine receptor 2	Cellinker	Receptor	MRM0563
564	HMDB0000538	Adenosine triphosphate	Adenosine triphosphate	Ryr3	Ryanodine receptor 3	Cellinker	Receptor	MRM0564
565	HMDB0000538	Adenosine triphosphate	Adenosine triphosphate	Trpm4	Transient receptor potential cation channel subfamily M member 4	Cellinker	Receptor; Channel	MRM0565
566	HMDB0000588	Sodium	Sodium	Kcnj3	G protein-activated inward rectifier potassium channel 1	Cellinker	Channel	MRM0566
567	HMDB0000588	Sodium	Sodium	Kcnj6	G protein-activated inward rectifier potassium channel 2	Cellinker	Channel	MRM0567
568	HMDB0000588	Sodium	Sodium	Kcnj5	G protein-activated inward rectifier potassium channel 4	Cellinker	Channel	MRM0568
569	HMDB0000588	Sodium	Sodium	Trpm3	Transient receptor potential cation channel subfamily M member 3	Cellinker	Receptor; Channel	MRM0569
570	HMDB0000619	Cholic acid	Cholic acid	Gpbar1	G-protein coupled bile acid receptor 1	Cellinker	Receptor	MRM0570
571	HMDB0000626	Deoxycholic acid	Deoxycholic acid	Gpbar1	G-protein coupled bile acid receptor 1	Cellinker	Receptor	MRM0571
572	HMDB0000641	L-Glutamine	L-Glutamine	Gprc6a	G-protein coupled receptor family C group 6 member A	Cellinker	Receptor	MRM0572
573	HMDB0000673	Linoleic acid	Linoleic acid	Ffar4	Free fatty acid receptor 4	Cellinker	Receptor	MRM0573
574	HMDB0000673	Linoleic acid	Linoleic acid	Hnf4a	Hepatocyte nuclear factor 4-alpha	Cellinker	Nuclear Receptor	MRM0574
575	HMDB0000673	Linoleic acid	Linoleic acid	Pparg	Peroxisome proliferator-activated receptor gamma	Cellinker	Nuclear Receptor	MRM0575
576	HMDB0000761	Lithocholic acid	Lithocholic acid	Nr1i2	Nuclear receptor subfamily 1 group I member 2	Cellinker	Nuclear Receptor	MRM0576
577	HMDB0000795	Pristanic acid	Pristanic acid	Rorc	Nuclear receptor ROR-gamma	Cellinker	Nuclear Receptor	MRM0577
578	HMDB0000806	Myristic acid	Myristic acid	Ffar1	Free fatty acid receptor 1	Cellinker	Receptor	MRM0578
579	HMDB0000806	Myristic acid	Myristic acid	Ffar4	Free fatty acid receptor 4	Cellinker	Receptor	MRM0579
580	HMDB0000879	Tetrahydrodeoxycorticosterone	Tetrahydrodeoxycorticosterone	Gabra1	Gamma-aminobutyric acid receptor subunit alpha-1	Cellinker	Receptor	MRM0580
581	HMDB0000879	Tetrahydrodeoxycorticosterone	Tetrahydrodeoxycorticosterone	Gabra2	Gamma-aminobutyric acid receptor subunit alpha-2	Cellinker	Receptor	MRM0581
582	HMDB0000879	Tetrahydrodeoxycorticosterone	Tetrahydrodeoxycorticosterone	Gabra3	Gamma-aminobutyric acid receptor subunit alpha-3	Cellinker	Receptor	MRM0582
583	HMDB0000879	Tetrahydrodeoxycorticosterone	Tetrahydrodeoxycorticosterone	Gabra4	Gamma-aminobutyric acid receptor subunit alpha-4	Cellinker	Receptor	MRM0583
584	HMDB0000879	Tetrahydrodeoxycorticosterone	Tetrahydrodeoxycorticosterone	Gabra5	Gamma-aminobutyric acid receptor subunit alpha-5	Cellinker	Receptor	MRM0584
585	HMDB0000879	Tetrahydrodeoxycorticosterone	Tetrahydrodeoxycorticosterone	Gabra6	Gamma-aminobutyric acid receptor subunit alpha-6	Cellinker	Receptor	MRM0585
586	HMDB0000895	Acetylcholine	Acetylcholine	Chrna3	Neuronal acetylcholine receptor subunit alpha-3	Cellinker	Receptor	MRM0586
587	HMDB0000895	Acetylcholine	Acetylcholine	Chrna5	Neuronal acetylcholine receptor subunit alpha-5	Cellinker	Transporter	MRM0587
588	HMDB0000895	Acetylcholine	Acetylcholine	Chrna6	Neuronal acetylcholine receptor subunit alpha-6	Cellinker	Receptor	MRM0588
589	HMDB0000895	Acetylcholine	Acetylcholine	Chrna9	Neuronal acetylcholine receptor subunit alpha-9	Cellinker	Receptor	MRM0589
