ID	HMDB ID	Metabolite name	metName	Receptor symbol	Protein name	PMID	Other.DB	MRID
763	HMDB0000253	Pregnenolone	Pregnenolone	Nr1i2	Nuclear receptor subfamily 1 group I member 2	CellChat	Nuclear Receptor	MRM0763
764	HMDB0001043	Arachidonic acid	Arachidonic acid	Slco2a1	Solute carrier organic anion transporter family member 2A1	Cellinker	Transporter	MRM0764
765	HMDB0001043	Arachidonic acid	Arachidonic acid	Anxa2	Annexin A2	Cellinker	Receptor	MRM0765
766	HMDB0001043	Arachidonic acid	Arachidonic acid	S100a10	Protein S100-A10	Cellinker	Receptor	MRM0766
767	HMDB0001043	Arachidonic acid	Arachidonic acid	Lrrc8a	Volume-regulated anion channel subunit LRRC8A	Cellinker	Channel	MRM0767
768	HMDB0001043	Arachidonic acid	Arachidonic acid	Lrrc8b	Volume-regulated anion channel subunit LRRC8B	Cellinker	Channel	MRM0768
769	HMDB0001043	Arachidonic acid	Arachidonic acid	Lrrc8c	Volume-regulated anion channel subunit LRRC8C	Cellinker	Channel	MRM0769
770	HMDB0001043	Arachidonic acid	Arachidonic acid	Lrrc8d	Volume-regulated anion channel subunit LRRC8D	Cellinker	Channel	MRM0770
771	HMDB0001043	Arachidonic acid	Arachidonic acid	Lrrc8e	Volume-regulated anion channel subunit LRRC8E	Cellinker	Channel	MRM0771
772	HMDB0003178	Heme	Heme	Slc48a1	Heme transporter HRG1	18418376	Transporter	MRM0772
773	HMDB0000125	Glutathione	Glutathione	Slc22a6	Solute carrier family 22 member 6	39442522	Transporter	MRM0773
774	HMDB0000125	Glutathione	Glutathione	Slc22a8	Organic anion transporter 3	39442522	Transporter	MRM0774
775	HMDB0000125	Glutathione	Glutathione	Slc13a3	Na(+)/dicarboxylate cotransporter 3	39442522	Transporter	MRM0775
776	HMDB0003337	Oxidized glutathione	Oxidized glutathione	Casr	Extracellular calcium-sensing receptor	35054903	Receptor	MRM0776
777	HMDB0000125	Glutathione	Glutathione	Casr	Extracellular calcium-sensing receptor	35054903	Receptor	MRM0777
778	HMDB0003178	Heme	Heme	Flvcr2	Feline leukemia virus subgroup C receptor-related protein 2	20823265	Transporter	MRM0778
779	HMDB00000606	Acetoacetic acid	Acetoacetate	Slc16a1	Monocarboxylate transporter 1	25390740; 35729663; 23506875	Transporter	MRM0779
780	HMDB0000011	3-Hydroxybutyric acid	3-Hydroxybutyric acid	Slc16a1	Monocarboxylate transporter 1	25390740; 35729663; 23506875	Transporter	MRM0780
781	HMDB0000060	Acetoacetic acid	Acetoacetate	Slc16a7	Monocarboxylate transporter 2	22131303; https://en.wikipedia.org/wiki/Monocarboxylate_transporter_2	Transporter	MRM0781
782	HMDB0000011	3-Hydroxybutyric acid	3-Hydroxybutyric acid	Slc16a7	Monocarboxylate transporter 2	22131303; https://en.wikipedia.org/wiki/Monocarboxylate_transporter_2	Transporter	MRM0782
783	HMDB0000060	Acetoacetic acid	Acetoacetate	Slc16a3	Monocarboxylate transporter 4	32144120; 23506875	Transporter	MRM0783
784	HMDB0000011	3-Hydroxybutyric acid	3-Hydroxybutyric acid	Slc16a3	Monocarboxylate transporter 4	32144120; 23506875	Transporter	MRM0784
785	HMDB0000011	3-Hydroxybutyric acid	3-Hydroxybutyric acid	Slc16a6	Monocarboxylate transporter 7	32144120; 22302940; 38132294	Transporter	MRM0785
786	HMDB0000060	Acetoacetic acid	Acetoacetate	Ffar2	Gpr43	31685604; https://en.wikipedia.org/wiki/Free_fatty_acid_receptor_2	Receptor	MRM0786
787	HMDB0000042	Acetic acid	Acetate	Ffar2	Gpr43	31337751; 34845033; 32997697	Receptor	MRM0787
788	HMDB0000011	3-Hydroxybutyric acid	3-Hydroxybutyric acid	Hcar2	Gpr109A	31685604; 35649469	Receptor	MRM0788
789	HMDB0000011	3-Hydroxybutyric acid	3-Hydroxybutyric acid	Ffar3	Gpr41	31685604; 21518883	Receptor	MRM0789
